user_id,method,MAE,RMSE,sMAPE,day1_MAE,day7_MAE,std_ratio,collapsed_prediction
0,LSTM_no_time,187.3,312.8,0.86,154.7,216.2,0.10,1
0,LSTM_time,189.8,324.3,0.88,166.3,201.5,0.17,0
0,MLP,201.9,354.5,1.15,155.9,233.2,0.11,0
0,MovingAverage7,217.5,336.9,0.97,178.3,232.1,0.29,0
0,ARIMA_101,224.6,313.9,0.93,199.0,239.2,0.01,1
0,WeekdayAverage,226.5,342.5,1.02,207.6,235.6,0.54,0
1,LSTM_time,387.0,648.3,0.60,405.5,349.6,0.05,1
1,LSTM_no_time,389.6,651.1,0.61,405.2,366.6,0.07,1
1,ARIMA_101,393.5,645.0,0.61,417.7,357.0,0.05,1
1,MLP,427.9,707.0,0.74,387.4,430.1,0.18,0
1,MovingAverage7,444.3,692.2,0.68,432.5,416.2,0.39,0
1,WeekdayAverage,453.9,686.4,0.66,469.8,417.1,0.38,0
2,MLP,333.7,596.8,1.25,362.9,299.2,0.14,0
2,ARIMA_101,337.7,579.3,1.21,361.3,302.2,0.08,1
2,LSTM_no_time,343.3,591.5,1.33,357.8,294.3,0.20,0
2,LSTM_time,349.3,576.9,1.22,374.5,321.6,0.07,1
2,WeekdayAverage,364.2,561.8,1.27,369.7,362.7,0.41,0
2,MovingAverage7,391.7,605.5,1.25,417.3,329.0,0.26,0
