topic,custom_name,auto_label,n_rows,n_distinct_items,top_members
0,,代收(售)-台北市購物兩用袋(中) 等112款,133,112,代收(售)-台北市購物兩用袋(中):3 | 3元塑膠袋:3 | shopping bag:2 | 每天穿什麼mini matters 服飾 正價品:2 | 4x6專用紙-15元授權:2 | 現貨tpvl熱身賽胸章別針(共7款):2
1,,熟食 等3款,92,3,熟食:88 | 便當:3 | 美食街:1
2,,嫩切雞肉堡6吋 等7款,51,7,嫩切雞肉堡6吋:42 | 厚切嫩牛堡6吋:3 | 鮮嫩雞柳堡6吋:2 | 黑胡椒豬里肌:1 | (牛)炸蝦堡:1 | 嫩切雞肉堡12吋:1
3,,parking fee 等2款,42,2,parking fee:41 | parkingfee:1
4,,大冰美式 等3款,39,3,大冰美式:35 | 特大冰美式:2 | 中冰美式:2
5,,+69元升級a餐(點心+飲料) 等31款,38,31,+69元升級a餐(點心+飲料):3 | 迷客夏虎林 - 原片初露青茶(l):3 | 服務費:2 | 五桐號通化 - 一把青茶(l):2 | 日式壽喜燒鍋:2 | 例湯+飲料98元套餐:1
6,,一配經典肉鬆飯糰 等19款,38,19,一配經典肉鬆飯糰:7 | 茶葉蛋(銷售用):4 | 二配經典肉鬆飯糰:4 | 星一配雞肉飯飯糰:3 | 茶葉蛋:3 | 星二配雞肉飯飯糰:2
7,,皮蛋乾麵 等15款,37,15,皮蛋乾麵:10 | 燙青菜:5 | 蛤蠣湯:4 | 豆干滷蛋海帶:3 | 餛飩湯:3 | 粗-招牌乾麵p:2
8,,(a)御料小館香辣炸雞球 等3款,36,3,(a)御料小館香辣炸雞球:34 | (a)御料小館椒鹽鹽酥雞:1 | 滷味香蔥肉丸:1
9,,蜜桃烏龍(小心果核) 等31款,36,31,蜜桃烏龍(小心果核):3 | 摩卡可可碎片大:2 | 摩卡可可碎片v杯:2 | 智利富士88:2 | 招牌(小):1 | 早午餐兄弟純水濕紙巾_吐司款100抽:1
10,,a 美式黑咖啡-中冰 等18款,35,18,a 美式黑咖啡-中冰:6 | 特選美式冰咖啡(大):4 | 四 四季翠玉青茶-大冰:4 | 路易莎咖啡餐點類:3 | 麥香三明治-香燻雞肉:3 | a 美式黑咖啡-大冰:2
11,,大1四季春珍波椰 等5款,34,5,大1四季春珍波椰:26 | 飲料:4 | 大四季春青茶:2 | 四季春茶(冰):1 | 甜品:1
12,,16oz(冰)特選美式咖啡 等2款,33,2,16oz(冰)特選美式咖啡:32 | 麥當勞豬肉滿福堡加蛋送冰經典美式咖啡中杯(好禮即享券):1
13,,parking fee（單品）,33,1,parking fee:33
14,,桌球場（單品）,33,1,桌球場:33
15,,寶山黑糖麻糬手 等25款,32,25,寶山黑糖麻糬手:3 | 巧克力濃心菠蘿:3 | 隨緣紅燒嫩菇麵:2 | 隨緣沙茶豆腐麵:2 | 起司燒:2 | 豆皮烏龍麵:1
16,,停車費 等3款,31,3,停車費:29 | 停車費用:1 | 臨停費用:1
17,,三鮮火鍋(海鮮風味) 等22款,31,22,三鮮火鍋(海鮮風味):3 | 高冷青茶:2 | 清香奶茶:2 | 菌類拼盤:2 | 日本越光米:2 | 高麗菜:2
18,,來一客杯麵京燉肉骨風味 等16款,30,16,來一客杯麵京燉肉骨風味:10 | (a)來一客杯麵鮮蝦魚板風味:3 | 拉麵道日式豚骨風味:3 | 適量豚骨鹽味拉麵-細麵:2 | 極饗-真飽經典麻醬涼麵:1 | 來一客杯麵肉燥菠菜風味:1
19,,紅茶（單品）,30,1,紅茶:30
20,,餐廳 等15款,29,15,餐廳:15 | 7號餐(台大店):1 | 餐食:1 | a套餐:1 | 餐飲_熟食:1 | 清潔費:1
21,,熟食 等3款,28,3,熟食:26 | 30元盤:1 | 40元盤:1
22,,parking fee（單品）,28,1,parking fee:28
23,,金萱雙q（單品）,28,1,金萱雙q:28
24,,12fit - 特餐_七味蒜香雞胸(b) 等10款,28,10,12fit - 特餐_七味蒜香雞胸(b):18 | 陽光bbq健康餐 - 匈牙利香蒜雞胸(c):2 | 鹽味舒肥雞poke-加購免洗餐盒2元:1 | 島嶼咖哩雞肉燉飯 chicken & vegetables risotto with red curry cream sauce:1 | 香蒜白酒蛤蠣麵 clams spaghetti with white wine & garlic oil:1 | 豬肉拼盤 돼지모둠 pork combo 2人套餐五花肉 삼겹살 pork belly+松阪肉항정살pork jowl+梅花목살boston butt+海鮮大醬鍋(附飯) 된장찌개 soybean paste soup+韓式起司蒸雞蛋 치즈폭탄계란찜 cheese steamed eggs:1
25,,金塊香蒜-小單位 等4款,27,4,金塊香蒜-小單位:24 | 焦糖可可碎片大:1 | 法式岩漿巧克力:1 | 芋泥可麗露:1
26,,重乳奶茶tp330 等19款,26,19,重乳奶茶tp330:5 | 一配蜂蜜牛奶球:3 | 奶茶(l)(冰):2 | 一配經典蜂蜜蛋糕:1 | 飲冰室茶集綠奶茶:1 | 巧達濃湯:1
27,,四塊麥克雞塊 等12款,26,12,四塊麥克雞塊:7 | b10_四重麥香雞:3 | b12_四重麥香雞:3 | 麥香魚:3 | 馬鈴薯沙拉(熟):2 | 藜麥辣脆雞沙拉:2
28,,餅乾1片 等3款,26,3,餅乾1片:24 | 各種蔬菜餅:1 | 嫩煎蛋一片:1
29,,星-二配板巧克力夾心土司 等10款,26,10,星-二配板巧克力夾心土司:15 | 一配菠蘿麵包:2 | 新感覺可可夾心:2 | 蕃薯(30元):1 | 芝麻包:1 | 新感覺草莓夾心:1
30,,御選肉鬆飯糰 等5款,25,5,御選肉鬆飯糰:18 | 章魚燒串:2 | 原味豬肉貢丸(關):2 | 虱目魚丸:2 | 綜合湯:1
31,,卡辣姆久平切洋芋片勁辣唐辛35元 等5款,24,5,卡辣姆久平切洋芋片勁辣唐辛35元:19 | 美式原味熱狗:2 | 卡辣姆久厚切洋芋片勁辣唐辛35元:1 | 日式碳烤風味熱狗:1 | 波的多濃厚蚵仔煎洋芋片:1
32,,午后時光-重乳奶茶tp330 等7款,24,7,午后時光-重乳奶茶tp330:18 | 紅牌速纖纖維飲料tp330:1 | 光泉午后時光重乳奶茶400ml:1 | 黑松fin好菌補給飲pet580:1 | 統一麥香奶茶tp375:1 | 黑松c&c氣泡飲(葡萄)pet500:1
33,,福樂自然零藍莓優酪 等11款,24,11,福樂自然零藍莓優酪:7 | 晨光葡萄土司:5 | 自然零藍莓優酪:2 | 金蘋果調味乳蘋果風味:2 | pkl330ml黑松蘋果c:2 | ladears 開心果可麗露:1
34,,1百 等23款,24,23,1百:2 | 活沛多游離型葉黃素30粒:1 | 高露潔纖柔備長炭牙刷3入:1 | 高露潔護齦牙刷:1 | 藥水:1 | 3m細滑牙線棒散裝36支入:1
35,,ab原味優酪乳206ml(瓶) 等4款,23,4,ab原味優酪乳206ml(瓶):10 | ab原味優酪乳517ml(瓶):9 | ab原味優酪乳902ml(瓶):3 | 泰國皇家牛奶片 25g:1
