method,n_clusters,noise,coverage,purity,NMI,ARI,silhouette
Regex 關鍵字（baseline）,19,0.561,0.439,0.977,0.436,0.124,0.258
TF-IDF + HDBSCAN（傳統 ML）,74,0.361,0.639,0.986,0.237,0.014,0.708
BERT + 無降維 + HDBSCAN,85,0.321,0.679,0.993,0.316,0.018,0.699
BERT + PCA(30d) + HDBSCAN,83,0.344,0.656,0.992,0.334,0.022,0.693
BERT + UMAP(5d) + HDBSCAN（最佳）,110,0.069,0.931,0.991,0.271,0.012,0.882
BERT + 無降維 + K-Means(108),108,0.0,1.0,0.992,0.275,0.014,0.384
BERT + PCA(30d) + K-Means(108),108,0.0,1.0,0.991,0.272,0.013,0.449
BERT + UMAP(5d) + K-Means(108),108,0.0,1.0,0.991,0.262,0.011,0.834
BERT + 無降維 + AHC(108),108,0.0,1.0,0.992,0.276,0.014,0.389
BERT + PCA(30d) + AHC(108),108,0.0,1.0,0.992,0.275,0.014,0.433
BERT + UMAP(5d) + AHC(108),108,0.0,1.0,0.991,0.262,0.011,0.833
