config,space,n_clusters,noise_ratio,coverage,purity,homogeneity,NMI,ARI,silhouette
raw768+HDBSCAN,raw768,85,0.321,0.679,0.993,0.962,0.316,0.018,0.699
raw768+KMeans(K=108),raw768,108,0.0,1.0,0.992,0.965,0.275,0.014,0.384
raw768+Agglo(K=108),raw768,108,0.0,1.0,0.992,0.967,0.276,0.014,0.389
raw768+KMeans(K=6),raw768,6,0.0,1.0,0.99,0.922,0.922,0.97,0.796
PCA30+HDBSCAN,PCA30,83,0.344,0.656,0.992,0.963,0.334,0.022,0.693
PCA30+KMeans(K=108),PCA30,108,0.0,1.0,0.991,0.965,0.272,0.013,0.449
PCA30+Agglo(K=108),PCA30,108,0.0,1.0,0.992,0.968,0.275,0.014,0.433
PCA30+KMeans(K=6),PCA30,6,0.0,1.0,0.99,0.922,0.922,0.97,0.829
UMAP5+HDBSCAN,UMAP5,110,0.069,0.931,0.991,0.951,0.271,0.012,0.882
UMAP5+KMeans(K=108),UMAP5,108,0.0,1.0,0.991,0.949,0.262,0.011,0.834
UMAP5+Agglo(K=108),UMAP5,108,0.0,1.0,0.991,0.95,0.262,0.011,0.833
UMAP5+KMeans(K=6),UMAP5,6,0.0,1.0,0.886,0.613,0.481,0.445,0.431
