user_id,super,supertype,item,total_qty,base_qty,base_spend,base_unit_price,cur_qty,cur_spend,cur_unit_price
0,0,文具列印,toeic 證書,1,1.0,600.0,600.0,0.0,0.0,
0,0,文具列印,a4黑白列印ibon,9,139.0,417.0,3.0,0.0,0.0,
0,0,文具列印,a4黑白影印,1,22.0,66.0,3.0,0.0,0.0,
0,0,文具列印,15k赤牛皮公文信封50張,1,1.0,49.0,49.0,0.0,0.0,
0,0,文具列印,晴天快樂派對帽3,1,1.0,45.0,45.0,0.0,0.0,
0,0,文具列印,藝舍黑田桑小卡,3,3.0,36.0,12.0,0.0,0.0,
0,0,文具列印,四季螺旋蠟燭中藍,1,1.0,32.0,32.0,0.0,0.0,
0,0,文具列印,南寶透明裝飾貼4 size,1,1.0,29.0,29.0,0.0,0.0,
0,0,文具列印,文明mk-3001雙頭水性美工筆銘黃,1,1.0,24.0,24.0,0.0,0.0,
0,0,文具列印,文明mk-3001雙頭水性美工筆紅,1,1.0,24.0,24.0,0.0,0.0,
0,0,文具列印,文明mk-3001雙頭水性美工筆柑,1,1.0,24.0,24.0,0.0,0.0,
0,0,文具列印,亞柏25mm黑色長尾夾225,1,1.0,24.0,24.0,0.0,0.0,
0,0,文具列印,藝舍黑田桑生日卡,1,1.0,21.0,21.0,0.0,0.0,
0,0,文具列印,大菱定頁32k筆記本,1,1.0,21.0,21.0,0.0,0.0,
0,0,文具列印,a4彩色160g列印web,1,1.0,15.0,15.0,0.0,0.0,
0,0,文具列印,飛龍861平頭黑,1,1.0,13.0,13.0,0.0,0.0,
0,0,文具列印,a4彩色160g列印ibon,1,0.0,0.0,,2.0,30.0,15.0
0,0,文具列印,三菱sxn155溜溜筆黑,1,0.0,0.0,,1.0,29.0,29.0
0,0,文具列印,飛龍c205鉛芯hb,1,0.0,0.0,,1.0,26.0,26.0
0,1,手搖飲料與麵食,拉麵,2,2.0,620.0,310.0,0.0,0.0,
0,1,手搖飲料與麵食,豚骨魚介肉盛,1,1.0,350.0,350.0,0.0,0.0,
0,1,手搖飲料與麵食,松露雞白湯,1,1.0,350.0,350.0,0.0,0.0,
0,1,手搖飲料與麵食,ei壽喜牛里肌豬排鍋定食,1,1.0,349.0,349.0,0.0,0.0,
0,1,手搖飲料與麵食,唐揚雞咖哩飯,1,1.0,280.0,280.0,0.0,0.0,
0,1,手搖飲料與麵食,餐費,1,1.0,187.0,187.0,0.0,0.0,
0,1,手搖飲料與麵食,uber經典招牌螺蛳粉-小辣,1,1.0,185.0,185.0,0.0,0.0,
0,1,手搖飲料與麵食,餛飩牛肉湯麵(小),3,2.0,180.0,90.0,1.0,90.0,90.0
0,1,手搖飲料與麵食,粗-招牌乾麵p,2,2.0,150.0,75.0,0.0,0.0,
0,1,手搖飲料與麵食,生豆皮1份,1,1.0,120.0,120.0,0.0,0.0,
0,1,手搖飲料與麵食,清爽沙拉飯,1,1.0,110.0,110.0,0.0,0.0,
0,1,手搖飲料與麵食,黑糖仙草汁,1,1.0,100.0,100.0,0.0,0.0,
0,1,手搖飲料與麵食,綠茶冰,1,1.0,80.0,80.0,0.0,0.0,
0,1,手搖飲料與麵食,餛飩麵(小),1,1.0,75.0,75.0,0.0,0.0,
0,1,手搖飲料與麵食,甜品,1,1.0,75.0,75.0,0.0,0.0,
0,1,手搖飲料與麵食,蘿蔔牛肉清湯,1,1.0,70.0,70.0,0.0,0.0,
0,1,手搖飲料與麵食,雙醬麵(小),1,1.0,65.0,65.0,0.0,0.0,
0,1,手搖飲料與麵食,叉燒飯,1,1.0,60.0,60.0,0.0,0.0,
0,1,手搖飲料與麵食,加北海道七星米飯,1,1.0,60.0,60.0,0.0,0.0,
0,1,手搖飲料與麵食,豬油麵(小),1,1.0,55.0,55.0,0.0,0.0,
0,1,手搖飲料與麵食,白豆漿p,2,2.0,54.0,27.0,0.0,0.0,
0,1,手搖飲料與麵食,四季春茶(冰),1,1.0,40.0,40.0,0.0,0.0,
0,1,手搖飲料與麵食,魯肉飯(小),1,1.0,35.0,35.0,0.0,0.0,
0,1,手搖飲料與麵食,薯球(肯)(活動),1,1.0,10.0,10.0,0.0,0.0,
0,3,速食小食,豬腳能量碗,1,2.0,600.0,300.0,0.0,0.0,
0,3,速食小食,美國特選肥牛(半),1,1.0,249.0,249.0,0.0,0.0,
0,3,速食小食,招牌蝦滑(半),1,1.0,249.0,249.0,0.0,0.0,
0,3,速食小食,配-經典大薯,7,5.0,215.0,43.0,2.0,86.0,43.0
0,3,速食小食,b10_四重麥香雞,3,3.0,204.0,68.0,0.0,0.0,
0,3,速食小食,b12_四重麥香雞,3,3.0,204.0,68.0,0.0,0.0,
0,3,速食小食,撈派巴沙魚片(半),1,1.0,154.0,154.0,0.0,0.0,
0,3,速食小食,櫛瓜,3,5.0,150.0,30.0,0.0,0.0,
0,3,速食小食,豆皮烏龍麵,1,1.0,135.0,135.0,0.0,0.0,
0,3,速食小食,豆皮,3,4.0,120.0,30.0,0.0,0.0,
0,3,速食小食,水蓮菜(半),1,1.0,99.0,99.0,0.0,0.0,
0,3,速食小食,娃娃菜(半),1,1.0,95.0,95.0,0.0,0.0,
0,3,速食小食,孜然羊肉串,2,2.0,90.0,45.0,0.0,0.0,
