Topic,Count,Name,Representation,Representative_Docs,top_items
-1,181,-1_pkl330_165_i_14,"['pkl330', '165', 'i', '14', '600ml', 'a5', 'ei', '2200ml', 'apple', 'tea']","['pkl330立頓巧克力奶 松深食品', 'pkl330立頓巧克力奶 松深食品', 'pkl330立頓巧克力奶 松深食品']",外送費 | 食品 | 超市餐飲其他 | 桂格顆粒燕麥飲 | 冰/熱 美式咖啡(大)
0,133,0_lalaport_90_mini_88,"['lalaport', '90', 'mini', '88', '14', '350', '700ml', '70', '600ml', '4']","['女裝一片式百褶中長裙 台灣極優服飾lalaport南港店', '女裝側百褶褲裙 台灣極優服飾lalaport南港店', 'shopping bag 台灣極優服飾lalaport南港店']",代收(售)-台北市購物兩用袋(中) | 3元塑膠袋 | shopping bag | 每天穿什麼mini matters 服飾 正價品 | 4x6專用紙-15元授權
1,92,1____,"['', '', '', '', '', '', '', '', '', '']","['熟食 冠樺生活', '熟食 冠樺生活', '熟食 冠樺生活']",熟食 | 便當 | 美食街
2,51,2_6___,"['6', '', '', '', '', '', '', '', '', '']","['嫩切雞肉堡6吋 傑洛國際台大店', '嫩切雞肉堡6吋 傑洛國際台大店', '嫩切雞肉堡6吋 傑洛國際台大店']",嫩切雞肉堡6吋 | 厚切嫩牛堡6吋 | 鮮嫩雞柳堡6吋 | 黑胡椒豬里肌 | (牛)炸蝦堡
3,42,3_fee_parking__,"['fee', 'parking', '', '', '', '', '', '', '', '']","['parking fee 正好停樹林車站停車場', 'parking fee 正好停樹林車站停車場', 'parking fee 正好停樹林車站停車場']",parking fee | parkingfee
4,39,4____,"['', '', '', '', '', '', '', '', '', '']","['大冰美式 全家便利商店台大二活門市部', '大冰美式 全家便利商店台大二活門市部', '大冰美式 全家便利商店台大二活門市部']",大冰美式 | 特大冰美式 | 中冰美式
5,38,5_50_l_10_xl,"['50', 'l', '10', 'xl', '', '', '', '', '', '']","['傳承50爆炒系列 貳堂餐廳', '50嵐饒河 - 黃金烏龍(l) 作燴餐飲科技', '50嵐饒河 - 四季春青茶(l) 作燴餐飲科技']",+69元升級a餐(點心+飲料) | 迷客夏虎林 - 原片初露青茶(l) | 服務費 | 五桐號通化 - 一把青茶(l) | 日式壽喜燒鍋
6,38,6____,"['', '', '', '', '', '', '', '', '', '']","['燒烤美乃雞丼 飯大 台灣善商大直北安門市', '餃子の王將 漢神購物中心台中', '星一配雞肉飯飯糰 全家便利商店台大二活門市部']",一配經典肉鬆飯糰 | 茶葉蛋(銷售用) | 二配經典肉鬆飯糰 | 星一配雞肉飯飯糰 | 茶葉蛋
7,37,7____,"['', '', '', '', '', '', '', '', '', '']","['豆干滷蛋海帶 一娘子小吃店', '燙青菜 一娘子小吃店', '蛤蠣湯 一娘子小吃店']",皮蛋乾麵 | 燙青菜 | 蛤蠣湯 | 豆干滷蛋海帶 | 餛飩湯
8,36,8_a___,"['a', '', '', '', '', '', '', '', '', '']","['(a)御料小館香辣炸雞球 統一超商台北市第七四一', '(a)御料小館香辣炸雞球 統一超商台北市第七四一', '(a)御料小館香辣炸雞球 統一超商台北市第七四一']",(a)御料小館香辣炸雞球 | (a)御料小館椒鹽鹽酥雞 | 滷味香蔥肉丸
9,36,9_88_80_g_11,"['88', '80', 'g', '11', '2', '1', '', '', '', '']","['花g 創新維新', '智利富士88 全聯實業永和成功', '智利富士88 全聯實業永和成功']",蜜桃烏龍(小心果核) | 摩卡可可碎片大 | 摩卡可可碎片v杯 | 智利富士88 | 招牌(小)
10,35,10_a___,"['a', '', '', '', '', '', '', '', '', '']","['a 美式黑咖啡-中冰 路易莎職人咖啡新北圖館', 'a 美式黑咖啡-中冰 路易莎職人咖啡二零五', 'a 美式黑咖啡-中冰 路易莎職人咖啡新北圖館']",a 美式黑咖啡-中冰 | 特選美式冰咖啡(大) | 四 四季翠玉青茶-大冰 | 路易莎咖啡餐點類 | 麥香三明治-香燻雞肉
11,34,11_1___,"['1', '', '', '', '', '', '', '', '', '']","['大1四季春珍波椰 星翔飲料店', '大1四季春珍波椰 星翔飲料店', '大1四季春珍波椰 星翔飲料店']",大1四季春珍波椰 | 飲料 | 大四季春青茶 | 四季春茶(冰) | 甜品
12,33,12____,"['', '', '', '', '', '', '', '', '', '']","['16oz(冰)特選美式咖啡 統一聖娜多堡市站門市部', '16oz(冰)特選美式咖啡 統一聖娜多堡市站門市部', '麥當勞豬肉滿福堡加蛋送冰經典美式咖啡中杯(好禮即享券) 富邦媒體科技']",16oz(冰)特選美式咖啡 | 麥當勞豬肉滿福堡加蛋送冰經典美式咖啡中杯(好禮即享券)
13,33,13_fee_parking__,"['fee', 'parking', '', '', '', '', '', '', '', '']","['parking fee 正好停樹林車站停車場', 'parking fee 正好停樹林車站停車場', 'parking fee 正好停樹林車站停車場']",parking fee
14,33,14____,"['', '', '', '', '', '', '', '', '', '']","['桌球場 臺北大眾捷運內湖線南港展覽館站', '桌球場 臺北大眾捷運內湖線南港展覽館站', '桌球場 臺北大眾捷運板橋線板橋站']",桌球場
15,32,15_a___,"['a', '', '', '', '', '', '', '', '', '']","['抹茶本味 全聯實業永和成功', '起司燒 全聯實業永和成功', '味味a 川香椒麻 全聯實業永和成功']",寶山黑糖麻糬手 | 巧克力濃心菠蘿 | 隨緣紅燒嫩菇麵 | 隨緣沙茶豆腐麵 | 起司燒
16,31,16____,"['', '', '', '', '', '', '', '', '', '']","['停車費 歐特儀市民廣場地下停車場', '停車費 歐特儀市民廣場地下停車場', '停車費 歐特儀市民廣場地下停車場']",停車費 | 停車費用 | 臨停費用
17,31,17____,"['', '', '', '', '', '', '', '', '', '']","['招牌蝦滑 海底撈火鍋', '薄切牛舌(半) 海底撈火鍋', '高麗菜 海底撈火鍋']",三鮮火鍋(海鮮風味) | 高冷青茶 | 清香奶茶 | 菌類拼盤 | 日本越光米
18,30,18_2_a__,"['2', 'a', '', '', '', '', '', '', '', '']","['(a)來一客杯麵鮮蝦魚板風味 統一超商台北市第七四一', '(a)來一客杯麵鮮蝦魚板風味 統一超商台北市第七四一', '2唐揚套餐 味噌湯 台灣善商大直北安門市']",來一客杯麵京燉肉骨風味 | (a)來一客杯麵鮮蝦魚板風味 | 拉麵道日式豚骨風味 | 適量豚骨鹽味拉麵-細麵 | 極饗-真飽經典麻醬涼麵
19,30,19____,"['', '', '', '', '', '', '', '', '', '']","['紅茶 貓啡因商行', '紅茶 貓啡因商行', '紅茶 貓啡因商行']",紅茶
