user_id,group,n,n_month,first_month,last_month
1,熟食 @ 冠樺生活,114,9,2025-09,2026-05
1,parking fee @ 正好停樹林車站停車場,99,9,2025-09,2026-05
1,大冰美式 @ 全家便利商店台大二活門市部,46,8,2025-09,2026-05
0,嫩切雞肉堡6吋 @ 傑洛國際台大店,42,9,2025-09,2026-05
1,桌球場 @ 臺北大眾捷運內湖線南港展覽館站,32,8,2025-09,2026-05
0,(a)御料小館香辣炸雞球 @ 統一超商台北市第七四一,32,9,2025-09,2026-05
1,16oz(冰)特選美式咖啡 @ 統一聖娜多堡市站門市部,32,8,2025-09,2026-05
1,紅茶 @ 貓啡因商行,30,8,2025-09,2026-05
0,餅乾1片 @ 傑洛國際台大店,27,7,2025-10,2026-05
1,停車費 @ 歐特儀市民廣場地下停車場,27,9,2025-09,2026-05
1,金萱雙q @ 源湧商行,27,9,2025-09,2026-05
1,大1四季春珍波椰 @ 星翔飲料店,26,9,2025-09,2026-05
1,金塊香蒜-小單位 @ 統一聖娜多堡市站門市部,24,8,2025-09,2026-05
0,服務費和其他費用 @ 優食台灣,19,3,2026-03,2026-05
0,外送費 @ 優食台灣,19,3,2026-03,2026-05
1,12fit - 特餐_七味蒜香雞胸(b) @ 百變全球餐飲,18,7,2025-10,2026-05
1,桌球場 @ 長佳機電工程大安運動中心暨和平籃球館營業所,18,5,2025-09,2026-05
1,餐飲與食品(f&b) @ 潤泰旭展,18,7,2025-09,2026-05
0,卡辣姆久平切洋芋片勁辣唐辛35元 @ 統一超商台北市第七四一,18,7,2025-09,2026-05
2,多喝水鹼性竹炭 @ 全聯實業永和成功,18,4,2025-10,2026-03
1,御選肉鬆飯糰 @ 統一超商台北市第一0二七,17,5,2026-01,2026-05
1,多多綠茶 @ 貓啡因商行,17,6,2025-11,2026-05
1,烤雞(熟) @ 詠觀國際,15,6,2025-09,2026-05
1,星-二配板巧克力夾心土司 @ 全家便利商店台大二活門市部,15,4,2025-09,2025-12
1,清爽沙拉飯 @ 詠觀國際,15,6,2025-09,2026-05
1,餐廳 @ 冠樺生活,15,8,2025-09,2026-05
1,美式冰咖啡(大) @ 統一超商台北市第一0二七,15,4,2026-01,2026-05
1,芽香綠金萱(l) @ 陌生人商行,14,5,2025-11,2026-05
0,粥天子-廣式皮蛋瘦肉煲粥 @ 統一超商台北市第七四一,14,8,2025-09,2026-05
1,午后時光-重乳奶茶tp330 @ 統一超商新北市第一四三五,14,8,2025-09,2026-05
1,韓式泡菜拉麵 @ 九南商行,13,7,2025-09,2026-04
1,配料 @ 九南商行,13,7,2025-09,2026-04
1,奶茶 @ 貓啡因商行,12,6,2025-09,2026-05
1,母傳原湯清燉牛肉 @ 吾時食清燉紅燒牛肉麵,12,6,2025-12,2026-05
