user_id,group,base_month,cur_month,P0,Q0,P1,Q1,base_spend,cur_spend,delta,price_effect,qty_effect,residual
1,熟食 @ 冠樺生活,2025-09,2026-05,94.62,13.0,210.89,9.0,1230.0,1898.0,668.0,1046.46,-378.46,-0.0
1,parking fee @ 正好停樹林車站停車場,2025-09,2026-05,35.0,18.0,35.0,7.0,630.0,245.0,-385.0,0.0,-385.0,0.0
1,大冰美式 @ 全家便利商店台大二活門市部,2025-09,2026-05,45.0,2.0,45.0,7.0,90.0,315.0,225.0,0.0,225.0,0.0
0,嫩切雞肉堡6吋 @ 傑洛國際台大店,2025-09,2026-05,99.0,3.0,99.0,6.0,297.0,594.0,297.0,0.0,297.0,0.0
1,桌球場 @ 臺北大眾捷運內湖線南港展覽館站,2025-09,2026-05,100.0,1.0,100.0,2.0,100.0,200.0,100.0,0.0,100.0,0.0
0,(a)御料小館香辣炸雞球 @ 統一超商台北市第七四一,2025-09,2026-05,45.0,1.0,45.0,4.0,45.0,180.0,135.0,0.0,135.0,0.0
1,16oz(冰)特選美式咖啡 @ 統一聖娜多堡市站門市部,2025-09,2026-05,60.0,7.0,60.0,2.0,420.0,120.0,-300.0,0.0,-300.0,0.0
1,紅茶 @ 貓啡因商行,2025-09,2026-05,90.0,2.0,90.0,4.0,180.0,360.0,180.0,0.0,180.0,0.0
0,餅乾1片 @ 傑洛國際台大店,2025-10,2026-05,25.0,5.0,25.0,3.0,125.0,75.0,-50.0,0.0,-50.0,0.0
1,停車費 @ 歐特儀市民廣場地下停車場,2025-09,2026-05,30.0,3.0,40.0,3.0,90.0,120.0,30.0,30.0,0.0,0.0
1,金萱雙q @ 源湧商行,2025-09,2026-05,50.0,1.0,50.0,5.0,50.0,250.0,200.0,0.0,200.0,0.0
1,大1四季春珍波椰 @ 星翔飲料店,2025-09,2026-05,50.0,4.0,50.0,2.0,200.0,100.0,-100.0,0.0,-100.0,0.0
1,金塊香蒜-小單位 @ 統一聖娜多堡市站門市部,2025-09,2026-05,42.0,5.0,42.0,2.0,210.0,84.0,-126.0,0.0,-126.0,0.0
0,服務費和其他費用 @ 優食台灣,2026-03,2026-05,16.0,5.0,15.43,7.0,80.0,108.0,28.0,-4.0,32.0,0.0
0,外送費 @ 優食台灣,2026-03,2026-05,45.0,5.0,30.0,7.0,225.0,210.0,-15.0,-105.0,90.0,0.0
1,12fit - 特餐_七味蒜香雞胸(b) @ 百變全球餐飲,2025-10,2026-05,125.0,2.0,125.0,1.0,250.0,125.0,-125.0,0.0,-125.0,0.0
