topic,type_label,n_distinct_items,n_rows,users,unit_price_p10,unit_price_p50,unit_price_p90,price_ratio_p90_p10,generic_share,coherent_ok,members
0,代收(售)-台北市購物兩用袋(中) 等112款,112,133,"0,1,2",5.6,99.0,990.0,176.8,0.06,False,代收(售)-台北市購物兩用袋(中):3 | 3元塑膠袋:3 | shopping bag:2 | 每天穿什麼mini matters 服飾 正價品:2 | 4x6專用紙-15元授權:2 | 現貨tpvl熱身賽胸章別針(共7款):2 | saimesaime 東京企劃 3way抓皺氣球腋下包:2 | 完美封漏經典棉柔35cm:2 | 舒潔袖珍面紙10抽3入:2 | 陽光金圓頭52:2 | 美國加拉125:2 | 無患子沐浴檸檬:2 | 酒精擦濕巾:2 | 275:2 | 大創 大創百貨:2 | 圓領t恤(短袖):2 | heypoca - 小卡:2 | 安親抑菌濕巾:2 | 紐-加拉120:2 | 商品一批:1 | solone天生好手極細三角眉筆ex04深霧灰:1 | rr粉底液粉撲五角型30p-845522:1 | meko好簡單免膠單株睫毛36簇-太陽花款:1 | 蘇菲彈力貼身超薄基本14片4入日用23cm:1 | 屈臣氏棉花棒200支3入柴犬工房:1 | w 柔軟舒膚針織短版開襟外套(長袖):1 | w 法蘭絨寬版襯衫(長袖):1 | 立得清酒精擦濕巾90抽:1 | 女裝側百褶褲裙:1 | 女裝一片式百褶中長裙:1 | 蘇菲彈力貼身超薄潔翼18片日用23cm:1 | 蘇菲超熟睡彈力貼身衛生棉8片35cm:1 | 蘇菲彈力貼身極薄01潔翼18片日用23cm:1 | puff蓬鬆柔軟圓領針織開襟(菱格紋):1 | 2051101301:1 | biory 女用日拋免洗內褲3入-l:1 | 美妝雜貨-松本清:1 | mw2r3za/a:1 | 尚品捲髮奶奶甜甜圈 甜甜圈 正價品:1 | 隱形:1 | hangyodon寶藏夜市系列微盒max:1 | 凱婷怪獸級持色唇膏3g-19:1 | 潔霜s浴廁清潔劑650g:1 | 清秀佳人-三角免洗褲5入-l:1 | 立得清酒精擦溼巾90抽:1 | 蘇菲彈力貼身超薄潔翼12片4入日用23cm:1 | 任選四盒1000元(hellocik免膠睫毛 - 眨眼下睫毛ˊ 3/5左右出貨x2:1 | 項鍊cliff:1 | 項鍊cipher:1 | kesho乾濕兩用粉撲海綿12入-pb03房形:1 | solone天生好手極細三角眉筆15g-ex04:1 | im meme我愛魔皮柔焦蜜粉10g:1 | whirlpool 惠而浦一級能效10公升節能除濕機wdee101w(貨物稅減免900):1 | 舒潔淨99抗菌濕巾10抽:1 | 不織布購物袋(5元):1 | wow 會員訂閱服務月費:1 | electrolux 伊萊克斯雙11限定 極適家居 600 21l 一級能效wifi除濕機(ed2171wa 27坪適用):1 | 綜合髮束髮夾組4款入:1 | 三花男性背心 l:1 | 生活用品:1 | 冠軍養力幼秀卵:1 | 美國洋蔥(粒):1 | 透明專用袋:1 | 霧白x群青 3朵玫瑰花束:1 | 黃金小金豆01錢單顆入(010錢0:1 | s鑽石切面造型玻璃花瓶61:1 | 富士instax link wide手機印相機/ 白:1 | 勁威 超薄型衛生套24入:1 | 配件雜貨:1 | clarins 克蘭詩黃金雙萃精華 75ml(國際航空版):1 | 奇異果蓬鬆洗髮:1 | 優生酒精濕巾:1 | 屈臣氏袖珍面紙10抽28入柴犬工房:1 | 屈臣氏柔淨洗臉巾70片抽取式:1 | 倍潔雅柔軟抽衛:1 | 威猛潔廁凝膠:1 | intopic displayport 14版 8k影音線-3m 型號cb-dp-l05:1 | 褲子:1 | 紐綠果104:1 | consofy三層抽:1 | 脆皮可可慕斯杯:1 | 克潮靈集水袋:1 | 好來清新淨白組:1 | domori100%黑巧:1 | 甘百世黑巧88 %:1 | 美國加拉88:1 | 繽紛鑽石杯:1 | 2032590003:1 | 2031700205:1 | 2031820003:1 | xiaomi 電動刮鬍刀 s200 銀色:1 | xiaomi 變焦落地自拍棒:1 | 2032590005:1 | 美琪抗菌洗手露-澄淨白茶700ml:1 | hi-five蔬果造型珊瑚絨擦手巾(加厚):1 | lumina棉柔珍珠紋洗臉巾-大胖包:1 | enhance 依涵絲珍珠紋掛抽式洗臉巾120抽加厚版:1 | airism棉質寬版圓領t恤(五分袖):1 | 無患子檀香沐浴:1 | 香氛-+ 加價:1 | 長臂夾鐵-黑:1 | 纖維+600ml:1 | 愛可寧一般酒精:1 | 99:1 | 1599:1 | scott3層抽取:1 | 鞋履:1 | 壹把蕉金:1 | 古寶制菌洗手乳:1 | 浴廁消臭劑皂香:1 | 網品雙色spa沐浴球50g:1 | 衛浴馬桶刷1入:1
1,熟食 等3款,3,92,"1,2",40.0,40.0,40.0,1.0,0.97,True,熟食:88 | 便當:3 | 美食街:1
2,嫩切雞肉堡6吋 等7款,7,51,"0,1,2",110.0,110.0,125.0,1.1,0.0,True,嫩切雞肉堡6吋:42 | 厚切嫩牛堡6吋:3 | 鮮嫩雞柳堡6吋:2 | 黑胡椒豬里肌:1 | (牛)炸蝦堡:1 | 嫩切雞肉堡12吋:1 | 香烤雞肉堡6吋:1
3,parking fee 等2款,2,42,"0,1",35.0,35.0,35.0,1.0,0.0,True,parking fee:41 | parkingfee:1
4,大冰美式 等3款,3,39,1,45.0,45.0,45.0,1.0,0.0,True,大冰美式:35 | 特大冰美式:2 | 中冰美式:2
5,+69元升級a餐(點心+飲料) 等31款,31,38,"0,1,2",40.0,45.0,277.5,6.9,0.16,False,+69元升級a餐(點心+飲料):3 | 迷客夏虎林 - 原片初露青茶(l):3 | 服務費:2 | 五桐號通化 - 一把青茶(l):2 | 日式壽喜燒鍋:2 | 例湯+飲料98元套餐:1 | 餐飲:1 | 大茗內湖店 - 玉露青茶(l):1 | teatop延吉 - 招牌高山青(l):1 | 大茗通化 - 玉露青茶(l):1 | 五桐號南港 - 一把青茶(l):1 | 50嵐饒河 - 四季春青茶(l):1 | 得正南港店 - 輕烏龍(l):1 | 老賴茶棧內湖 - 文清烏龍(l):1 | 參杯 - 黃金蕎麥茶(l):1 | 秀茶邸家 - 冬採金萱烏龍(l):1 | 傳承50爆炒系列:1 | 老賴松山 - 文清烏龍(l):1 | 河河飲品 - 日光金萱(xl):1 | 50嵐饒河 - 黃金烏龍(l):1 | 老賴松山 - 冷香青茶(l):1 | 麻古茶坊 - 高山金萱茶(l):1 | teatop南京三民 - 招牌高山青(l):1 | 清心福全新松山 - 極品青茶(l):1 | 青梅春烏龍:1 | 經典滷味組合:1 | 素-日式味噌鍋:1 | 養生藥膳鍋:1 | 義式蕃茄鍋:1 | 粥一杯10:1 | 鴛鴦鍋:1
6,一配經典肉鬆飯糰 等19款,19,38,"0,1,2",12.1,30.0,120.9,10.0,0.0,False,一配經典肉鬆飯糰:7 | 茶葉蛋(銷售用):4 | 二配經典肉鬆飯糰:4 | 星一配雞肉飯飯糰:3 | 茶葉蛋:3 | 星二配雞肉飯飯糰:2 | 大高麗菜包:2 | 招牌韓式嫩雞胸:2 | 馬究極味付蛋:1 | 大貢丸:1 | 銷售用叉子:1 | 烤蛋白餐盒:1 | 二配芝麻香鬆飯糰:1 | 東利多丸龜製麵 烏龍麵丼飯 正價品:1 | 一配照燒雞肉飯糰:1 | 台灣東利多丸龜製麵 烏龍麵 正價品:1 | 燒烤美乃雞丼 飯大:1 | (贈)扇貝:1 | 餃子の王將:1
7,皮蛋乾麵 等15款,15,37,"0,1,2",40.0,75.0,164.0,4.1,0.0,True,皮蛋乾麵:10 | 燙青菜:5 | 蛤蠣湯:4 | 豆干滷蛋海帶:3 | 餛飩湯:3 | 粗-招牌乾麵p:2 | 白豆漿p:2 | uber經典招牌螺蛳粉-小辣:1 | 小菜:1 | 冬瓜茶:1 | 小鍋粑粑絲:1 | 小鍋米線-不肝:1 | 炒高麗菜:1 | sf04 炒粿條-小辣:1 | sf04 炒粿條:1
8,(a)御料小館香辣炸雞球 等3款,3,36,"0,1",45.0,45.0,45.0,1.0,0.0,True,(a)御料小館香辣炸雞球:34 | (a)御料小館椒鹽鹽酥雞:1 | 滷味香蔥肉丸:1
9,蜜桃烏龍(小心果核) 等31款,31,36,"0,1,2",23.5,54.0,195.0,8.3,0.08,False,蜜桃烏龍(小心果核):3 | 摩卡可可碎片大:2 | 摩卡可可碎片v杯:2 | 智利富士88:2 | 招牌(小):1 | 早午餐兄弟純水濕紙巾_吐司款100抽:1 | 服務費:1 | 咖啡專用不織布提袋(1杯袋):1 | 菠菜(產銷履歷):1 | 手提袋2杯袋:1 | 琴通寧(買1送1):1 | 芭樂切片包:1 | 享活有機黑木耳:1 | 日本土歧蘋果46:1 | 澳洲茂谷柑80:1 | 美粒果蜜桃蘇打:1 | 果繆繆草莓:1 | 福樂莓果優果昔:1 | 喬亞滴濾拿鐵:1 | 優意思蜜桃優格:1 | 質立蜂蜜優格:1 | 光泉優質蛋白牛:1 | 無調味核桃:1 | 老媽蔥香椒麻:1 | 伴手禮:1 | 旗山珍珠芭樂:1 | 旺旺仙貝米果:1 | 優意思藍莓優格:1 | 紐西蘭紅奇異果:1 | 花g:1 | 嚴選紅龍果金:1
