user_id,type_label,topic,P0,P1,Q0_per_month,Q1_this_month,baseline_spend,current_spend,delta_spend,變貴_price,買更多_qty
0,福樂自然零藍莓優酪 等11款,33,44.0,28.0,2.38,4.0,104.5,112.0,7.5,-64.0,71.5
0,ab原味優酪乳206ml(瓶) 等4款,35,43.0,49.0,2.75,1.0,118.4,49.0,-69.4,6.0,-75.3
0,嫩切雞肉堡6吋 等7款,2,100.0,99.0,4.75,6.0,475.1,594.0,118.9,-6.2,125.0
0,叉燒飯 等11款,100,194.3,194.3,1.12,0.0,218.6,0.0,-218.6,0.0,-218.6
0,(a)御料小館香辣炸雞球 等3款,8,45.0,45.0,3.88,4.0,174.4,180.0,5.6,0.0,5.6
0,a4黑白列印ibon 等7款,40,3.1,15.0,20.25,2.0,62.2,30.0,-32.2,23.9,-56.1
1,大冰美式 等3款,4,45.6,43.6,4.0,7.0,182.5,305.0,122.5,-14.4,136.9
1,a 美式黑咖啡-中冰 等18款,10,60.2,63.3,3.5,3.0,210.8,190.0,-20.8,9.4,-30.1
1,parking fee 等2款,3,34.7,35.0,4.5,4.0,156.2,140.0,-16.2,1.1,-17.4
1,桌球場 等3款,39,99.5,100.0,2.38,4.0,236.2,400.0,163.8,2.1,161.6
1,日香雞肉飯 - 私房辣椒雞腿飯(b) 等8款,71,154.3,120.0,1.75,1.0,270.0,120.0,-150.0,-34.3,-115.7
1,金塊香蒜-小單位 等4款,25,42.0,42.0,2.75,2.0,115.5,84.0,-31.5,0.0,-31.5
1,16oz(冰)特選美式咖啡 等2款,12,59.9,60.0,3.88,2.0,232.2,120.0,-112.2,0.1,-112.4
1,照燒雞肉堡6吋 等6款,91,103.4,72.0,1.25,1.0,129.2,72.0,-57.2,-31.4,-25.8
1,停車費 等3款,16,31.7,35.0,3.25,4.0,103.1,140.0,36.9,13.1,23.8
1,金萱雙q（單品）,23,50.0,50.0,2.88,7.0,143.8,350.0,206.2,0.0,206.2
1,parking fee（單品）,22,35.0,35.0,3.38,1.0,118.1,35.0,-83.1,0.0,-83.1
1,黑蒜豚骨拉麵 等6款,63,172.3,172.3,1.88,0.0,323.1,0.0,-323.1,0.0,-323.1
1,韓式泡菜拉麵 等3款,70,150.0,150.0,1.62,0.0,243.8,0.0,-243.8,0.0,-243.8
1,三明治冰淇淋 等5款,67,79.9,29.0,1.88,1.0,149.8,29.0,-120.8,-50.9,-69.9
1,大1四季春珍波椰 等5款,11,52.4,55.0,3.62,3.0,190.0,165.0,-25.0,7.8,-32.8
1,臨停 等6款,81,29.7,29.7,4.58,0.0,136.2,0.0,-136.2,0.0,-136.2
1,原味波士頓 等5款,69,165.0,160.0,1.5,3.0,247.5,480.0,232.5,-15.0,247.5
1,紅茶（單品）,19,90.0,90.0,3.38,4.0,303.8,360.0,56.2,0.0,56.2
1,奶茶 等2款,88,133.3,130.0,1.5,1.0,200.0,130.0,-70.0,-3.3,-66.7
1,parking fee（單品）,13,35.0,35.0,3.88,2.0,135.6,70.0,-65.6,0.0,-65.6
1,清爽沙拉飯（單品）,48,110.0,120.0,1.38,4.0,151.2,480.0,328.8,40.0,288.8
1,桌球場（單品）,14,100.0,100.0,3.88,2.0,387.5,200.0,-187.5,0.0,-187.5
1,輕食咖啡廳 等2款,68,224.9,235.0,1.75,1.0,393.5,235.0,-158.5,10.1,-168.6
1,草莓 等7款,38,160.0,160.0,2.88,1.0,460.0,160.0,-300.0,0.0,-300.0
1,12fit - 特餐_七味蒜香雞胸(b) 等10款,24,121.3,125.0,2.88,1.0,348.8,125.0,-223.8,3.7,-227.4
1,特選美式冰咖啡(大) 等6款,95,55.6,55.6,2.0,0.0,111.1,0.0,-111.1,0.0,-111.1
1,極致巧克力蛋糕 等4款,102,163.3,163.3,1.5,0.0,245.0,0.0,-245.0,0.0,-245.0
1,多多綠茶 等2款,56,115.7,120.0,1.88,3.0,216.9,360.0,143.1,13.0,130.1
1,酥脆雞塊 等5款,85,144.0,144.0,1.88,0.0,270.0,0.0,-270.0,0.0,-270.0
1,超級大麥海洋珍珠堡 等5款,65,81.8,78.5,1.75,2.0,143.1,157.0,13.9,-6.6,20.4
1,d摩斯雞塊套加60 等5款,54,62.3,54.7,1.88,3.0,116.9,164.0,47.1,-23.0,70.1
1,皮蛋乾麵 等15款,7,84.4,84.4,4.0,0.0,337.5,0.0,-337.5,0.0,-337.5
1,母傳原湯清燉牛肉 等6款,42,229.3,253.2,2.25,6.0,515.9,1519.0,1003.1,143.3,859.8
2,寶山黑糖麻糬手 等25款,15,39.4,26.0,4.29,1.0,168.7,26.0,-142.7,-13.4,-129.3
2,多喝水鹼性竹炭（單品）,55,48.0,48.0,2.57,0.0,123.4,0.0,-123.4,0.0,-123.4
2,起司蛋堡 等13款,51,58.3,65.0,2.14,1.0,125.0,65.0,-60.0,6.7,-66.7
2,四塊麥克雞塊 等12款,27,88.6,68.0,1.14,1.0,101.3,68.0,-33.3,-20.6,-12.7
