user_id,super,supertype,P0,P1,Q0_per_month,Q1_this_month,baseline_spend,current_spend,delta_spend,變貴_price,買更多_qty
0,5,超商零食點心,41.1,38.0,6.38,9.0,262.1,342.0,79.9,-28.1,107.9
0,6,黑咖啡與輕食,316.5,316.5,0.5,0.0,158.2,0.0,-158.2,0.0,-158.2
0,14,生鮮水果早餐,34.1,63.0,6.62,6.0,225.7,378.0,152.3,173.5,-21.3
0,8,瓶裝茶飲,72.1,60.2,1.75,5.0,126.1,301.0,174.9,-59.4,234.2
0,3,速食小食,71.1,82.0,6.12,3.0,435.2,246.0,-189.2,32.8,-222.1
0,23,優酪乳乳製品,43.3,29.6,5.88,13.0,254.6,385.0,130.4,-178.4,308.8
0,1,手搖飲料與麵食,130.7,90.0,3.5,1.0,457.5,90.0,-367.5,-40.7,-326.8
0,4,正餐主食,114.8,256.1,5.5,7.0,631.4,1793.0,1161.6,989.4,172.2
0,9,熟食飯糰,47.9,49.1,6.25,8.0,299.4,393.0,93.6,9.8,83.8
0,21,超市鍋物點心,34.6,33.8,5.0,4.0,173.1,135.0,-38.1,-3.5,-34.6
0,0,文具列印,8.1,21.2,22.12,4.0,180.0,85.0,-95.0,52.5,-147.5
1,22,美式咖啡,45.5,43.6,5.25,7.0,238.8,305.0,66.2,-13.3,79.6
1,6,黑咖啡與輕食,79.2,72.5,13.12,10.0,1039.5,725.0,-314.5,-67.0,-247.5
1,16,停車費,34.2,35.0,15.0,11.0,513.1,385.0,-128.1,8.7,-136.8
1,11,桌球撞球,99.8,100.0,6.25,6.0,623.8,600.0,-23.8,1.2,-25.0
1,4,正餐主食,144.0,171.2,9.75,12.0,1403.9,2055.0,651.1,327.2,324.0
1,5,超商零食點心,50.1,57.0,12.25,10.0,614.1,570.0,-44.1,68.7,-112.8
1,14,生鮮水果早餐,30.4,33.0,5.38,5.0,163.6,165.0,1.4,12.8,-11.4
1,8,瓶裝茶飲,36.7,30.0,12.88,16.0,473.1,480.0,6.9,-108.0,114.8
1,1,手搖飲料與麵食,90.7,73.5,15.62,15.0,1417.5,1103.0,-314.5,-257.8,-56.7
1,15,大學商店食品,79.9,29.0,1.88,1.0,149.8,29.0,-120.8,-50.9,-69.9
1,2,停車費與加油,29.8,30.0,5.08,4.0,151.2,120.0,-31.2,0.9,-32.2
1,10,手搖甜點飲,134.0,124.2,14.5,12.0,1943.1,1490.0,-453.1,-118.1,-335.0
1,7,瓶裝水,32.6,30.3,3.25,6.0,106.0,182.0,76.0,-13.7,89.7
1,3,速食小食,61.6,46.5,3.0,2.0,184.9,93.0,-91.9,-30.2,-61.6
2,3,速食小食,56.1,59.5,6.29,11.0,352.4,654.0,301.6,37.2,264.3
2,7,瓶裝水,41.8,28.3,6.57,6.0,274.9,170.0,-104.9,-81.0,-23.9
2,5,超商零食點心,52.2,42.6,5.57,5.0,290.6,213.0,-77.6,-47.8,-29.8
2,1,手搖飲料與麵食,153.3,199.0,1.43,1.0,219.0,199.0,-20.0,45.7,-65.7
2,8,瓶裝茶飲,52.8,88.0,3.14,4.0,165.9,352.0,186.1,140.9,45.2
