super,custom_name,n_distinct_items,n_rows,n_users,unit_price_p10,unit_price_p50,unit_price_p90,top_items,all_items
5,超商零食點心,78,198,3,30.0,42.0,81.5,金塊香蒜-小單位(24) | 卡辣姆久平切洋芋片勁辣唐辛35元(19) | 星-二配板巧克力夾心土司(15) | d摩斯雞塊套加60(13) | 超級大麥海洋珍珠堡(10) | 極選厚菠蘿(8) | 摩斯鱈魚堡(7) | 起司蛋堡(6) | (a)北海鱈魚香絲(大)(5) | 統一麵包快樂牛奶球(5) | 石安牧場溏心蛋飯糰(圓)(3) | 超級大麥杏鮑菇珍珠堡(3) | 金黃起司火腿蛋三明治(3) | 鮪魚起司溏心蛋三明治(3) | (a)多力多滋超濃起司味玉米片(2) | 一配哆啦a夢小蛋糕(2) | 一配菠蘿麵包(2) | 新感覺可可夾心(2) | 32層菠蘿可頌(2) | 鮪魚肉鬆雙手卷(2),金塊香蒜-小單位(24) | 卡辣姆久平切洋芋片勁辣唐辛35元(19) | 星-二配板巧克力夾心土司(15) | d摩斯雞塊套加60(13) | 超級大麥海洋珍珠堡(10) | 極選厚菠蘿(8) | 摩斯鱈魚堡(7) | 起司蛋堡(6) | (a)北海鱈魚香絲(大)(5) | 統一麵包快樂牛奶球(5) | 石安牧場溏心蛋飯糰(圓)(3) | 超級大麥杏鮑菇珍珠堡(3) | 金黃起司火腿蛋三明治(3) | 鮪魚起司溏心蛋三明治(3) | (a)多力多滋超濃起司味玉米片(2) | 一配哆啦a夢小蛋糕(2) | 一配菠蘿麵包(2) | 新感覺可可夾心(2) | 32層菠蘿可頌(2) | 鮪魚肉鬆雙手卷(2) | 美式原味熱狗(2) | 海洋珍珠堡(2) | b夏威夷元氣沙拉50(2) | 鮪魚洋芋溏心蛋三明治(2) | 生吐司(1) | g餓遊戲(1) | cremia 北海道冰淇淋之神生日快樂冰淇淋(口味任選)(1) | 鮮蛋沙拉可頌(1) | 耕豆漿布丁燒 (蛋奶素)150g(1) | 新-哆啦a夢小蛋糕(1) | 黃金魚蛋(1) | 麥當勞勁辣鷄腿堡+薯條(小)+四塊麥克鷄塊+可樂(中) 好禮即享券(1) | 雪花嘉義方塊酥(1) | 健達巧克力含牛奶內餡(4入)(1) | 統一麵包愛心牛奶球(1) | 卡辣姆久厚切洋芋片勁辣唐辛35元(1) | 統一布丁--雞蛋口味(1) | 蕃薯(30元)(1) | 濃醇豆香波堤250318(1) | 芝麻包(1) | 新感覺草莓夾心(1) | 鮭魚鮭魚卵(圓)(1) | 日式碳烤風味熱狗(1) | 辣味和風雞腿塊(1) | 惜時金貓餐罐80g(鮪魚+蝦肉蟹肉)(1) | c黃金地瓜薯條套加6(1) | 和風炸雞-大(1) | 不沾手番茄芥末醬(1) | 和風雞腿塊-摩斯辣醬(1) | 三起司燻腸完熟蕃茄義大利麵(1) | 二配板巧克力夾心土司(1) | 質立藍莓冰淇淋(1) | 真松露巧克力奶蓋雪糕(1) | niseko海鹽焦糖雪糕(1) | 反烤焦糖布丁蛋糕(1) | 杯裝起司蛋糕霜淇淋(1) | 黑松沙士(1) | 波的多濃厚蚵仔煎洋芋片(1) | 統一大雞蛋布丁(1) | 冰戀雙旋冰淇淋(1) | 焦糖可可碎片大(1) | 法式岩漿巧克力(1) | 芋泥可麗露(1) | 31冰淇淋(1) | 雙球冰淇淋(1) | 二配花生夾心土司(1) | 起司四合奏三明治(1) | 鮮奶芋泥(1) | 雞蛋沙拉三明治(1) | 經典總匯三明治(1) | 葡式蛋塔(1) | 瘋狂起司三明治(1) | (區)雙倍起司火腿蛋三明治(1) | 火腿起司蛋三明治(1) | 好多蛋三明治(1) | 二配熱狗麵包(1) | 香蕉可可三明治(1) | 雙倍or冰炫風(1)
1,手搖飲料與麵食,54,176,3,50.0,72.5,170.0,金萱雙q(28) | 大1四季春珍波椰(26) | 清爽沙拉飯(19) | 韓式泡菜拉麵(13) | 黑蒜豚骨拉麵(12) | 皮蛋乾麵(10) | 燙青菜(5) | 飲料(4) | 蛤蠣湯(4) | 餛飩牛肉湯麵(小)(3) | 豆干滷蛋海帶(3) | 餛飩湯(3) | 拉麵(2) | 粗-招牌乾麵p(2) | 白豆漿p(2) | 大四季春青茶(2) | 四季春茶(冰)(1) | 叉燒飯(1) | 豚骨魚介肉盛(1) | 松露雞白湯(1),金萱雙q(28) | 大1四季春珍波椰(26) | 清爽沙拉飯(19) | 韓式泡菜拉麵(13) | 黑蒜豚骨拉麵(12) | 皮蛋乾麵(10) | 燙青菜(5) | 飲料(4) | 蛤蠣湯(4) | 餛飩牛肉湯麵(小)(3) | 豆干滷蛋海帶(3) | 餛飩湯(3) | 拉麵(2) | 粗-招牌乾麵p(2) | 白豆漿p(2) | 大四季春青茶(2) | 四季春茶(冰)(1) | 叉燒飯(1) | 豚骨魚介肉盛(1) | 松露雞白湯(1) | ei壽喜牛里肌豬排鍋定食(1) | 薯球(肯)(活動)(1) | 生豆皮1份(1) | 綠茶冰(1) | 黑糖仙草汁(1) | 加北海道七星米飯(1) | 唐揚雞咖哩飯(1) | 豬油麵(小)(1) | 雙醬麵(小)(1) | 餛飩麵(小)(1) | 魯肉飯(小)(1) | 蘿蔔牛肉清湯(1) | uber經典招牌螺蛳粉-小辣(1) | 餐費(1) | 甜品(1) | 川味麻辣鐵板麵(含蛋)(1) | 釜山紅湯拉麵(1) | 咖哩玉米海帶芽拉麵 (小)(1) | 博多叉燒拉麵 (大)(1) | 小菜(1) | 冬瓜茶(1) | 松露豚骨拉麵(1) | 小鍋粑粑絲(1) | 小鍋米線-不肝(1) | 炒高麗菜(1) | 291689麥當勞速食餐(1) | sf04 炒粿條-小辣(1) | (學)極饗-真飽香辣麻醬涼麵(1) | 川味麻辣鍋(1) | 香辣麵里肌(1) | 客製醬油豚骨拉麵(1) | 客製麻辣豚骨拉麵(1) | sf04 炒粿條(1) | 腰內豬排咖哩飯(1)
8,瓶裝茶飲,64,145,3,18.2,35.0,73.8,午后時光-重乳奶茶tp330(18) | 冰紅茶-大(新)(13) | 芽香綠金萱(l)(9) | 冰綠茶-小(6) | 白玉珍珠 / 無糖 / 微冰(6) | 油切蕎麥茶(5) | 牧香穀物鮮奶茶(l)(5) | 重乳奶茶tp330(5) | 無糖 / 微冰 / 白玉珍珠(4) | 玉米濃湯(4) | 黃金蕎麥鮮奶(4) | 焦糖粉粿奶茶(4) | 一配蜂蜜牛奶球(3) | 柔香青金萱(l)(3) | 青檸甘蔗蕎麥綠寶(2) | 冰綠茶-中(2) | 奶茶(l)(冰)(2) | 金萱雙q(2) | 大阿薩姆紅茶(2) | 統一麥香奶茶tp375(2),午后時光-重乳奶茶tp330(18) | 冰紅茶-大(新)(13) | 芽香綠金萱(l)(9) | 冰綠茶-小(6) | 白玉珍珠 / 無糖 / 微冰(6) | 油切蕎麥茶(5) | 牧香穀物鮮奶茶(l)(5) | 重乳奶茶tp330(5) | 無糖 / 微冰 / 白玉珍珠(4) | 玉米濃湯(4) | 黃金蕎麥鮮奶(4) | 焦糖粉粿奶茶(4) | 一配蜂蜜牛奶球(3) | 柔香青金萱(l)(3) | 青檸甘蔗蕎麥綠寶(2) | 冰綠茶-中(2) | 奶茶(l)(冰)(2) | 金萱雙q(2) | 大阿薩姆紅茶(2) | 統一麥香奶茶tp375(2) | 紅牌速纖纖維飲料tp330(1) | 烏龍(1) | 輕烏龍鮮奶(1) | 抹茶牛奶(i)(1) | 冰蘋果青茶大(1) | 一配經典蜂蜜蛋糕(1) | 冰紅茶-中(1) | 黑糖牛奶-ice(1) | 飲冰室茶集綠奶茶(1) | pkl330立頓琥珀紅茶(1) | 巧達濃湯(1) | 飲冰室茶集紅奶茶(1) | 金萱奶綠大(1) | 飲料(1) | 焙金萱鮮奶茶(l)(1) | 光泉午后時光重乳奶茶400ml(1) | 冰紅茶-中(新)(1) | 奶茶(xl)(冰)(1) | 大 紅茶拿鐵(1) | 鮮奶紅-冰(1) | 蜂蜜青茶-冰(1) | 茶中香檳鮮奶茶(l)(1) | 焦糖海鹽鮮奶茶(l)(1) | 中冰摩斯咖啡(1) | 冰奶茶(1) | 可樂-大(新)(1) | 發發通化 - 芽香綠金萱(l)(1) | 856576可口奶滋鐵觀音口味隨手分享包10(1) | 856574可口奶滋原味隨手分享包100g(1) | 愛之味寒天檸檬(1) | kirin 午後奶茶(1) | 黑松fin好菌補給飲pet580(1) | 乖乖奶油椰子(1) | 馥莓蕎麥綠寶(1) | 麥香奶茶tp375(1) | 布丁奶茶-中(1) | d02 大馬式拉茶(1) | 大醇豆無加糖豆漿(1) | l-開心果抹茶-完美冰(1) | 黑松c&c氣泡飲(葡萄)pet500(1) | 麥香阿薩姆奶茶(1) | fmc檸檬氣泡水(1) | 午后時光重乳奶茶(1) | oasis馬琳糖輕食 正價品(1)
4,正餐主食,38,140,3,73.0,125.0,232.2,嫩切雞肉堡6吋(42) | 12fit - 特餐_七味蒜香雞胸(b)(18) | 母傳原湯清燉牛肉(12) | 燙青菜(11) | 日香雞肉飯 - 私房辣椒雞腿飯(b)(8) | 照燒雞肉堡6吋(4) | 雙層牛肉堡(4) | 經典香韻紅燒牛肉(4) | 厚切嫩牛堡6吋(3) | 松露野菇牛肝菌燉飯(2) | 鮮嫩雞柳堡6吋(2) | 燒烤牛肉堡6吋(2) | 陽光bbq健康餐 - 匈牙利香蒜雞胸(c)(2) | 經典香韻紅燒三寶(2) | 鹽味舒肥雞poke-加購免洗餐盒2元(1) | 義大利牛肉丸堡6吋(1) | 島嶼咖哩雞肉燉飯 chicken & vegetables risotto with red curry cream sauce(1) | 香蒜白酒蛤蠣麵 clams spaghetti with white wine & garlic oil(1) | 燉煮叉燒肉(1) | 豬肉拼盤 돼지모둠 pork combo 2人套餐五花肉 삼겹살 pork belly+松阪肉항정살pork jowl+梅花목살boston butt+海鮮大醬鍋(附飯) 된장찌개 soybean paste soup+韓式起司蒸雞蛋 치즈폭탄계란찜 cheese steamed eggs(1),嫩切雞肉堡6吋(42) | 12fit - 特餐_七味蒜香雞胸(b)(18) | 母傳原湯清燉牛肉(12) | 燙青菜(11) | 日香雞肉飯 - 私房辣椒雞腿飯(b)(8) | 照燒雞肉堡6吋(4) | 雙層牛肉堡(4) | 經典香韻紅燒牛肉(4) | 厚切嫩牛堡6吋(3) | 松露野菇牛肝菌燉飯(2) | 鮮嫩雞柳堡6吋(2) | 燒烤牛肉堡6吋(2) | 陽光bbq健康餐 - 匈牙利香蒜雞胸(c)(2) | 經典香韻紅燒三寶(2) | 鹽味舒肥雞poke-加購免洗餐盒2元(1) | 義大利牛肉丸堡6吋(1) | 島嶼咖哩雞肉燉飯 chicken & vegetables risotto with red curry cream sauce(1) | 香蒜白酒蛤蠣麵 clams spaghetti with white wine & garlic oil(1) | 燉煮叉燒肉(1) | 豬肉拼盤 돼지모둠 pork combo 2人套餐五花肉 삼겹살 pork belly+松阪肉항정살pork jowl+梅花목살boston butt+海鮮大醬鍋(附飯) 된장찌개 soybean paste soup+韓式起司蒸雞蛋 치즈폭탄계란찜 cheese steamed eggs(1) | 珍大雞排 - 炙燒火烤雞腿(b)(1) | 珍大雞排 - 珍大雞排飯(f)(1) | 火腿堡6吋(1) | 番茄匈牙利雞腿排(1) | 赤香雞柳王 - 韓式直火燒肉片(e)(1) | 黑胡椒豬里肌(1) | (牛)炸蝦堡(1) | 12fit - 特餐_柚香檸檬清炒雞(a)(1) | 輕輕地中海餐盒 - 匈牙利香蒜雞胸(c)(1) | 炒野菇沙拉 field mushroom salad(1) | 蘿勒燻雞三明治特餐(1) | 五椒麻辣牛肉(1) | 菠蘿牛角(北)(1) | 辣豬---o----紅茶(冷)(1) | 經典香韻紅燒半筋半肉(1) | 嫩切雞肉堡12吋(1) | 獅子頭雞肉飯-加蔥(1) | 香烤雞肉堡6吋(1)
16,停車費,5,134,2,35.0,35.0,40.0,parking fee(102) | 停車費(29) | parkingfee(1) | 停車費用(1) | 臨停費用(1),parking fee(102) | 停車費(29) | parkingfee(1) | 停車費用(1) | 臨停費用(1)
3,速食小食,84,127,3,30.0,48.0,115.6,配-經典大薯(8) | 涼拌豆干絲(7) | 四塊麥克雞塊(7) | 薯條-大(4) | b10_四重麥香雞(3) | 櫛瓜(3) | 豆皮(3) | b12_四重麥香雞(3) | 寶山黑糖麻糬手(3) | 麥香魚(3) | 巧克力濃心菠蘿(3) | 香菇(2) | 孜然羊肉串(2) | 馬鈴薯沙拉(熟)(2) | 隨緣紅燒嫩菇麵(2) | 隨緣沙茶豆腐麵(2) | 起司燒(2) | 藜麥辣脆雞沙拉(2) | 豬腳能量碗(1) | a01_大薯+1多1(1),配-經典大薯(8) | 涼拌豆干絲(7) | 四塊麥克雞塊(7) | 薯條-大(4) | b10_四重麥香雞(3) | 櫛瓜(3) | 豆皮(3) | b12_四重麥香雞(3) | 寶山黑糖麻糬手(3) | 麥香魚(3) | 巧克力濃心菠蘿(3) | 香菇(2) | 孜然羊肉串(2) | 馬鈴薯沙拉(熟)(2) | 隨緣紅燒嫩菇麵(2) | 隨緣沙茶豆腐麵(2) | 起司燒(2) | 藜麥辣脆雞沙拉(2) | 豬腳能量碗(1) | a01_大薯+1多1(1) | 培根麻糬(1) | 多汁雞肉捲(1) | 特選牛肉串(1) | 杏鮑菇(1) | 雞腿肉串(1) | 豆皮烏龍麵(1) | 撈派巴沙魚片(半)(1) | 凍豆腐(半)(1) | 自選小料(1) | 撈派撈麵(1) | 美國特選肥牛(半)(1) | 招牌蝦滑(半)(1) | 紅糖滋粑(半)(1) | 娃娃菜(半)(1) | 水蓮菜(半)(1) | 日本越光米(1) | 響鈴卷(半)(1) | 千張豆皮(半)(1) | d小薯(1) | 配-經典中薯(1) | 水餃10粒-辣(1) | 麥香雞(1) | 薯來堡(牛)(1) | 紅油口水雞(1) | 韓風香蒜雞腿堡(1) | 十塊麥克雞塊(1) | 紅油脆筍(1) | 涼拌小黃瓜(1) | 椒麻雞(微辣)-不香菜(1) | 花枝丸x4(1) | 黑松沙士加鹽(1) | 泰山紅豆湯(1) | 起司qq球(1) | 丹麥奶酥菠蘿(1) | d08 豆漿仙草(1) | 炸醬麵-素食(1) | 抹茶本味(1) | 雙響泡日式雞白(1) | 味味a 川香椒麻(1) | 三重起司麵包(1) | 藜麥烤雞沙拉(1) | 麵大師醬香小醋(1) | 茶裏王日式無糖(1) | 海鹽焦糖千層酥(1) | 金脆雞棒腿便當(1) | 經典排骨便當(1) | 筷子(計價餐具)(1) | 香辣麵q雞(1) | 奇巧酥脆威化巧(1) | 家常起司口味(1) | 亨氏番茄醬(1) | 1 地瓜薯條(1) | 蕈菇嫩蛋焙果堡(1) | 愛之味分解茶秋(1) | 炸餃子(1) | 薯條-中(1) | 六塊麥克雞塊(1) | 高麗菜50(1) | 辣子雞丁90(1) | 香菇肉70(1) | 金沙杏鮑菇80(1) | 白飯一杯20(1) | 番茄炒蛋60(1) | 季節青菜60(1)
10,手搖甜點飲,26,123,2,90.0,130.0,160.0,紅茶(30) | 多多綠茶(17) | 奶茶(12) | 原味波士頓(9) | 極致巧克力蛋糕(8) | 草莓(8) | 酥脆雞塊(8) | 炙燒乳酪蛋糕(6) | 草莓白乳酪(3) | 香蒜起士麵包(3) | 法式乳酪(3) | 提拉米蘇(2) | 拿鐵(1) | 泡芙(1) | 熱帶叢林(1) | 風味奶茶(1) | 生乳捲(1) | 菲力雞排麵包(1) | 大 多多綠(1) | 西西里榛果塔(1),紅茶(30) | 多多綠茶(17) | 奶茶(12) | 原味波士頓(9) | 極致巧克力蛋糕(8) | 草莓(8) | 酥脆雞塊(8) | 炙燒乳酪蛋糕(6) | 草莓白乳酪(3) | 香蒜起士麵包(3) | 法式乳酪(3) | 提拉米蘇(2) | 拿鐵(1) | 泡芙(1) | 熱帶叢林(1) | 風味奶茶(1) | 生乳捲(1) | 菲力雞排麵包(1) | 大 多多綠(1) | 西西里榛果塔(1) | 白醬嫩煎雞肉 寬扁麵(1) | 青醬嫩煎雞肉 寬扁麵(1) | 楚佛巧克力(1) | 西西里開心果慕斯(1) | 巴斯克蛋糕(1) | 巧克力起司蛋糕(1)
6,黑咖啡與輕食,28,113,3,45.0,60.0,201.2,16oz(冰)特選美式咖啡(32) | 美式冰咖啡(大)(20) | 輕食咖啡廳(15) | 特選美式冰咖啡(大)(8) | a 美式黑咖啡-中冰(6) | 四 四季翠玉青茶-大冰(4) | 路易莎咖啡餐點類(3) | 麥香三明治-香燻雞肉(3) | a 美式黑咖啡-大冰(2) | 美式軟餅乾-黑紳士咖啡巧克力(片)(2) | 咖啡廳coffee shops & tea salons(1) | 義式磚壓-火腿起士(1) | hf焙茶鮮奶冰沙-中冰(1) | 經典咖啡松露生巧(1) | 咖哩盤30cm(1) | 麥當勞豬肉滿福堡加蛋送冰經典美式咖啡中杯(好禮即享券)(1) | 左岸咖啡館奶茶240ml(杯)(1) | 冰美式咖啡大(1) | 超值早餐派對(1) | scr小農雪點鮮奶茶-中熱(1),16oz(冰)特選美式咖啡(32) | 美式冰咖啡(大)(20) | 輕食咖啡廳(15) | 特選美式冰咖啡(大)(8) | a 美式黑咖啡-中冰(6) | 四 四季翠玉青茶-大冰(4) | 路易莎咖啡餐點類(3) | 麥香三明治-香燻雞肉(3) | a 美式黑咖啡-大冰(2) | 美式軟餅乾-黑紳士咖啡巧克力(片)(2) | 咖啡廳coffee shops & tea salons(1) | 義式磚壓-火腿起士(1) | hf焙茶鮮奶冰沙-中冰(1) | 經典咖啡松露生巧(1) | 咖哩盤30cm(1) | 麥當勞豬肉滿福堡加蛋送冰經典美式咖啡中杯(好禮即享券)(1) | 左岸咖啡館奶茶240ml(杯)(1) | 冰美式咖啡大(1) | 超值早餐派對(1) | scr小農雪點鮮奶茶-中熱(1) | 美式冰咖啡(特大)(1) | 風味三明治-香燻雞肉(1) | 濃萃美式冰咖啡(大)(1) | pt 水蜜桃蘋果茶-中冰(1) | 美式軟餅乾-超人氣經典巧克力(片)(1) | 美式熱咖啡(大)(1) | 深黑巧克脆皮泡芙(個)(1) | d06 怡保白咖啡 - 冰(1)
14,生鮮水果早餐,31,105,3,20.0,35.0,49.0,台灣香蕉重量分享包(2入)(15) | 芽香綠金萱(l)(14) | 桂格100%燕麥(顆粒微甜)290ml(13) | 台灣上等蕉(裸賣)(13) | 韓國農心辛香菇杯麵(8) | (區)現蒸地瓜25元(6) | 手工高麗菜捲(4) | 蘿蔔糕(3) | 313153精緻丹麥系列/個(a)(3) | (區)現蒸地瓜30元(2) | (區)現蒸地瓜35元(2) | 黃金脆薯(2) | 柔香青金萱(l)(2) | 無蛋白質poke-加購免洗餐盒2元(1) | 桂格顆粒豆漿燕麥(1) | (a)科學麵原味(1) | 白蘿蔔(1) | 白飯(1) | 阜杭原味豆漿(1) | (區)現蒸地瓜40元(1),台灣香蕉重量分享包(2入)(15) | 芽香綠金萱(l)(14) | 桂格100%燕麥(顆粒微甜)290ml(13) | 台灣上等蕉(裸賣)(13) | 韓國農心辛香菇杯麵(8) | (區)現蒸地瓜25元(6) | 手工高麗菜捲(4) | 蘿蔔糕(3) | 313153精緻丹麥系列/個(a)(3) | (區)現蒸地瓜30元(2) | (區)現蒸地瓜35元(2) | 黃金脆薯(2) | 柔香青金萱(l)(2) | 無蛋白質poke-加購免洗餐盒2元(1) | 桂格顆粒豆漿燕麥(1) | (a)科學麵原味(1) | 白蘿蔔(1) | 白飯(1) | 阜杭原味豆漿(1) | (區)現蒸地瓜40元(1) | 富士蘋果(截切-袋)(1) | 蘇菲清新涼感薄荷日用23cm9片(1) | 芽香綠金萱(1) | 統一陽光糙米漿400ml(盒)(1) | 京都念慈菴雙層枇杷軟喉糖(原味)(1) | 台灣黑輪(1) | 阿聰師芋單(1) | 黃金香橙大吉嶺大(1) | 小 手拍 小農蕃茄瑪(1) | 易口舒無糖薄荷錠-清爽蜜桃(1) | 香蕉單入(1)
9,熟食飯糰,12,85,3,28.0,45.0,59.0,(a)御料小館香辣炸雞球(34) | 御選肉鬆飯糰(18) | 粥天子-廣式皮蛋瘦肉煲粥(14) | 林聰明-雞肉飯飯糰(8) | 章魚燒串(2) | 原味豬肉貢丸(關)(2) | 虱目魚丸(2) | (a)御料小館椒鹽鹽酥雞(1) | (區)粥天子-田園雞蓉玉米粥(1) | 增雞蛋白餐(1) | 滷味香蔥肉丸(1) | 綜合湯(1),(a)御料小館香辣炸雞球(34) | 御選肉鬆飯糰(18) | 粥天子-廣式皮蛋瘦肉煲粥(14) | 林聰明-雞肉飯飯糰(8) | 章魚燒串(2) | 原味豬肉貢丸(關)(2) | 虱目魚丸(2) | (a)御料小館椒鹽鹽酥雞(1) | (區)粥天子-田園雞蓉玉米粥(1) | 增雞蛋白餐(1) | 滷味香蔥肉丸(1) | 綜合湯(1)
7,瓶裝水,19,75,3,20.0,35.0,50.0,多喝水鹼性竹炭(18) | (a)統一h2o純水pet2200(12) | 味丹多喝水(10) | 泰山淨之水(7) | fmc鹼性離子水800ml(4) | 統一ph9鹼性離子水(4) | ex強氣泡水(4) | 泰山純水(3) | 統一h2o純水pet1500(2) | 統一鹼性離子水(2) | 多喝水pet700(1) | uni water550水(1) | 泰山純水pet700(1) | (a)統一uni water純水pet550(1) | 多喝水pet2000(1) | 心樸元氣純水6200ml(1) | 悅氏light鹼性水(1) | 悅氏天然水2200ml(1) | 泰山純水 700ml(1),多喝水鹼性竹炭(18) | (a)統一h2o純水pet2200(12) | 味丹多喝水(10) | 泰山淨之水(7) | fmc鹼性離子水800ml(4) | 統一ph9鹼性離子水(4) | ex強氣泡水(4) | 泰山純水(3) | 統一h2o純水pet1500(2) | 統一鹼性離子水(2) | 多喝水pet700(1) | uni water550水(1) | 泰山純水pet700(1) | (a)統一uni water純水pet550(1) | 多喝水pet2000(1) | 心樸元氣純水6200ml(1) | 悅氏light鹼性水(1) | 悅氏天然水2200ml(1) | 泰山純水 700ml(1)
23,優酪乳乳製品,21,60,3,28.0,30.0,79.0,ab原味優酪乳206ml(瓶)(10) | ab原味優酪乳517ml(瓶)(9) | 福樂自然零藍莓優酪(7) | ab優酪乳原味(7) | 晨光葡萄土司(5) | ab原味優酪乳902ml(瓶)(3) | 自然零藍莓優酪(2) | 金蘋果調味乳蘋果風味(2) | 鮮乳坊起司銀絲卷(2) | pkl330ml黑松蘋果c(2) | ladears 開心果可麗露(1) | 起司牛肉可頌(1) | 光泉杯裝全脂鮮乳(1) | (a)義美葡萄qq巧克力球(1) | 瑞穗鮮乳土司(1) | 蘋果香蕉奶昔 apple banana shake(1) | 野生藍莓優格(m)(1) | 泰國皇家牛奶片 25g(1) | 每日c100%莓果綜合果汁(1) | 乳酪火山布蕾(1),ab原味優酪乳206ml(瓶)(10) | ab原味優酪乳517ml(瓶)(9) | 福樂自然零藍莓優酪(7) | ab優酪乳原味(7) | 晨光葡萄土司(5) | ab原味優酪乳902ml(瓶)(3) | 自然零藍莓優酪(2) | 金蘋果調味乳蘋果風味(2) | 鮮乳坊起司銀絲卷(2) | pkl330ml黑松蘋果c(2) | ladears 開心果可麗露(1) | 起司牛肉可頌(1) | 光泉杯裝全脂鮮乳(1) | (a)義美葡萄qq巧克力球(1) | 瑞穗鮮乳土司(1) | 蘋果香蕉奶昔 apple banana shake(1) | 野生藍莓優格(m)(1) | 泰國皇家牛奶片 25g(1) | 每日c100%莓果綜合果汁(1) | 乳酪火山布蕾(1) | 福樂草莓優酪乳(1)
