super,label,n_fine_clusters,n_distinct_items,n_rows,unit_price_p50,member_fine_types
6,嫩切雞肉堡6吋/(a)御料小館/12fit -…(134款),17,134,352,68.0,嫩切雞肉堡6吋 | (a)御料小館香辣炸雞球 | 寶山黑糖麻糬手 | 12fit - 特餐_七味蒜香雞胸(b) | 四塊麥克雞塊 | 御選肉鬆飯糰 | 母傳原湯清燉牛肉 | 配-經典大薯 | 日香雞肉飯 - 私房辣椒雞腿飯(b) | 櫛瓜 | 涼拌豆干絲 | 粥天子-廣式皮蛋瘦肉煲粥
11,金塊香蒜-小單/卡辣姆久平切洋/星-二配板巧克…(99款),13,99,258,42.0,金塊香蒜-小單位 | 星-二配板巧克力夾心土司 | 卡辣姆久平切洋芋片勁辣唐辛35元 | 福樂自然零藍莓優酪 | ab原味優酪乳206ml(瓶) | 金黃起司火腿蛋三明治 | 起司蛋堡 | d摩斯雞塊套加60 | 摩斯鱈魚堡 | 統一麵包快樂牛奶球 | 超級大麥海洋珍珠堡 | ab優酪乳原味
5,大冰美式/金萱雙q/大1四季春珍波…(60款),13,60,240,50.0,大冰美式 | 皮蛋乾麵 | 大1四季春珍波椰 | 30元盤 | 金萱雙q | 薯球(肯)(活動) | 清爽沙拉飯 | 黑蒜豚骨拉麵 | 韓式泡菜拉麵 | 配料 | 叉燒飯 | 餛飩牛肉湯麵(小)
4,餅乾1片/午后時光-重乳/冰紅茶-大(新…(71款),11,71,199,35.0,重乳奶茶tp330 | 餅乾1片 | 午后時光-重乳奶茶tp330 | 冰紅茶-大(新) | 油切蕎麥茶 | 餅乾3片 | 芽香綠金萱(l) | 牧香穀物鮮奶茶(l) | 冰綠茶-小 | 糖心蛋(兩片) | 白玉珍珠 / 無糖 / 微冰
2,parking/停車費/臨停…(13款),6,13,160,35.0,parking fee | parking fee | 停車費 | parking fee | 臨停 | 停車費
10,紅茶/多多綠茶/奶茶…(26款),7,26,123,130.0,紅茶 | 草莓 | 多多綠茶 | 原味波士頓 | 酥脆雞塊 | 奶茶 | 極致巧克力蛋糕
0,台灣香蕉重量分/芽香綠金萱(l/桂格100%燕…(36款),7,36,121,35.0,韓國農心辛香菇杯麵 | 台灣香蕉重量分享包(2入) | 桂格100%燕麥(顆粒微甜)290ml | 芽香綠金萱(l) | 三明治冰淇淋 | 台灣上等蕉(裸賣) | (區)現蒸地瓜25元
14,16oz(冰)/美式冰咖啡(大/輕食咖啡廳…(28款),5,28,113,60.0,a 美式黑咖啡-中冰 | 16oz(冰)特選美式咖啡 | 美式冰咖啡(大) | 輕食咖啡廳 | 特選美式冰咖啡(大)
7,多喝水鹼性竹炭/(a)統一h2/味丹多喝水…(19款),5,19,75,35.0,多喝水鹼性竹炭 | (a)統一h2o純水pet2200 | 泰山淨之水 | fmc鹼性離子水800ml | 味丹多喝水
1,桌球場/體適能-全票/撞球場…(7款),3,7,71,100.0,桌球場 | 桌球場 | 體適能-全票
3,a4黑白列印i/藝舍黑田桑小卡/列印服務全錄黑…(38款),3,38,56,15.5,a4黑白列印ibon | 藝舍黑田桑小卡 | 百樂g2 07鋼珠筆藍
12,烤雞(熟)/鮮蝦(熟)…(2款),1,2,17,45.0,烤雞(熟)
9,老中醫天然仙楂/良澔仙楂梅16…(2款),1,2,11,32.0,老中醫天然仙楂70g
13,便當…(1款),1,1,3,105.0,便當
8,優惠單人套餐/299成人…(2款),1,2,2,209.5,優惠單人套餐
