user_id,type_label,topic,P0,P1,Q0_per_month,Q1_this_month,baseline_spend,current_spend,delta_spend,變貴_price,買更多_qty
0,餐-十塊雞 等24款,u0_27,311.1,93.5,3.25,2.0,1011.1,187.0,-824.1,-435.2,-388.9
0,桂格100%燕麥(顆粒微甜)290ml 等6款,u0_14,40.9,40.9,2.75,0.0,112.5,0.0,-112.5,0.0,-112.5
0,冰綠茶-小 等9款,u0_23,66.7,40.5,1.5,2.0,100.0,81.0,-19.0,-52.3,33.3
0,配-經典大薯 等7款,u0_3,54.1,43.0,1.88,2.0,101.5,86.0,-15.5,-22.3,6.8
0,ab原味優酪乳206ml(瓶) 等5款,u0_10,42.0,49.0,2.88,1.0,120.6,49.0,-71.6,7.0,-78.7
0,嫩切雞肉堡6吋 等5款,u0_0,103.7,99.0,5.12,6.0,531.5,594.0,62.5,-28.2,90.7
0,(a)御料小館香辣炸雞球 等2款,u0_17,45.0,45.0,2.38,3.0,106.9,135.0,28.1,0.0,28.1
0,(a)北海鱈魚香絲(大) 等16款,u0_24,96.6,50.0,2.5,2.0,241.4,100.0,-141.4,-93.1,-48.3
0,a4黑白列印ibon 等4款,u0_6,3.1,15.0,20.25,2.0,62.2,30.0,-32.2,23.9,-56.1
0,餛飩牛肉湯麵(小) 等8款,u0_30,81.5,90.0,1.25,1.0,101.9,90.0,-11.9,8.5,-20.4
1,大冰美式 等3款,u1_19,45.6,43.8,4.0,8.0,182.5,350.0,167.5,-15.0,182.5
1,a 美式黑咖啡-中冰 等10款,u1_44,67.3,56.7,2.88,3.0,193.4,170.0,-23.4,-31.8,8.4
1,parking fee（單品）,u1_4,34.7,35.0,4.5,4.0,156.2,140.0,-16.2,1.1,-17.4
1,桌球場 等3款,u1_20,99.5,100.0,2.38,4.0,236.2,400.0,163.8,2.1,161.6
1,日香雞肉飯 - 私房辣椒雞腿飯(b) 等11款,u1_61,139.6,120.0,2.12,1.0,296.8,120.0,-176.8,-19.6,-157.1
1,金塊香蒜-小單位（單品）,u1_11,42.0,42.0,2.75,2.0,115.5,84.0,-31.5,0.0,-31.5
1,16oz(冰)特選美式咖啡 等7款,u1_43,58.1,63.3,4.75,3.0,275.9,190.0,-85.9,15.8,-101.6
1,油切蕎麥茶 等22款,u1_51,55.8,40.0,3.62,1.0,202.4,40.0,-162.4,-15.8,-146.5
1,午后時光-重乳奶茶tp330 等14款,u1_47,28.2,28.2,6.38,9.0,179.8,254.0,74.2,0.2,74.0
1,照燒雞肉堡6吋 等7款,u1_59,111.3,72.0,1.88,1.0,208.8,72.0,-136.8,-39.3,-97.4
1,停車費 等3款,u1_5,31.5,32.5,3.75,8.0,118.1,260.0,141.9,8.0,133.9
1,金萱雙q（單品）,u1_6,50.0,50.0,2.88,7.0,143.8,350.0,206.2,0.0,206.2
1,parking fee（單品）,u1_0,35.0,35.0,3.38,1.0,118.1,35.0,-83.1,0.0,-83.1
1,黑蒜豚骨拉麵 等9款,u1_31,182.1,182.1,2.62,0.0,478.1,0.0,-478.1,0.0,-478.1
1,韓式泡菜拉麵 等2款,u1_39,247.7,247.7,1.75,0.0,433.5,0.0,-433.5,0.0,-433.5
1,御選肉鬆飯糰 等13款,u1_35,32.4,28.0,5.0,3.0,162.0,84.0,-78.0,-13.2,-64.8
1,三明治冰淇淋 等3款,u1_25,79.9,29.0,1.88,1.0,149.8,29.0,-120.8,-50.9,-69.9
1,大1四季春珍波椰 等4款,u1_28,52.7,55.0,3.88,3.0,204.2,165.0,-39.2,6.9,-46.1
1,臨停 等5款,u1_33,29.7,29.7,4.58,0.0,136.2,0.0,-136.2,0.0,-136.2
1,原味波士頓 等5款,u1_42,165.0,160.0,1.5,3.0,247.5,480.0,232.5,-15.0,247.5
1,紅茶（單品）,u1_32,90.0,90.0,3.38,4.0,303.8,360.0,56.2,0.0,56.2
1,奶茶 等2款,u1_14,133.3,130.0,1.5,1.0,200.0,130.0,-70.0,-3.3,-66.7
1,parking fee（單品）,u1_1,35.0,35.0,3.88,2.0,135.6,70.0,-65.6,0.0,-65.6
1,清爽沙拉飯（單品）,u1_17,110.0,120.0,1.38,4.0,151.2,480.0,328.8,40.0,288.8
1,(a)統一h2o純水pet2200 等8款,u1_9,31.7,30.3,3.5,6.0,111.0,182.0,71.0,-8.3,79.3
1,皮蛋乾麵 等13款,u1_2,74.0,74.0,5.12,0.0,379.4,0.0,-379.4,0.0,-379.4
1,桌球場（單品）,u1_13,100.0,100.0,3.88,2.0,387.5,200.0,-187.5,0.0,-187.5
1,輕食咖啡廳（單品）,u1_10,224.9,235.0,1.75,1.0,393.5,235.0,-158.5,10.1,-168.6
1,草莓 等7款,u1_38,160.0,160.0,2.88,1.0,460.0,160.0,-300.0,0.0,-300.0
1,12fit - 特餐_七味蒜香雞胸(b) 等6款,u1_60,121.3,125.0,2.88,1.0,348.8,125.0,-223.8,3.7,-227.4
1,特選美式冰咖啡(大) 等6款,u1_45,55.6,55.6,2.0,0.0,111.1,0.0,-111.1,0.0,-111.1
1,極致巧克力蛋糕 等3款,u1_41,163.3,163.3,1.5,0.0,245.0,0.0,-245.0,0.0,-245.0
1,牧香穀物鮮奶茶(l) 等11款,u1_49,78.9,78.9,2.0,0.0,157.9,0.0,-157.9,0.0,-157.9
1,四塊麥克雞塊 等7款,u1_58,64.9,48.0,1.62,1.0,105.5,48.0,-57.5,-16.9,-40.6
1,多多綠茶 等2款,u1_30,115.7,120.0,1.88,3.0,216.9,360.0,143.1,13.0,130.1
1,超級大麥海洋珍珠堡 等5款,u1_54,80.7,78.5,1.88,2.0,151.2,157.0,5.8,-4.3,10.1
1,酥脆雞塊 等5款,u1_40,144.0,144.0,1.88,0.0,270.0,0.0,-270.0,0.0,-270.0
1,d摩斯雞塊套加60 等5款,u1_56,62.3,54.7,1.88,3.0,116.9,164.0,47.1,-23.0,70.1
1,母傳原湯清燉牛肉 等5款,u1_53,229.3,253.2,2.25,6.0,515.9,1519.0,1003.1,143.3,859.8
2,味丹多喝水 等11款,u2_7,38.4,28.7,3.33,3.0,128.2,86.0,-42.2,-29.4,-12.8
2,加新入袋a4單線簿白 等19款,u2_0,13.5,10.0,8.5,1.0,115.0,10.0,-105.0,-3.5,-101.5
2,多喝水鹼性竹炭 等2款,u2_3,48.9,48.9,3.17,0.0,154.8,0.0,-154.8,0.0,-154.8
